Rank,Name,Ticker,Sector,Industry,Revenue,Profit
341,PulteGroup,PHM,Consumer Cyclical,Residential Construction,8573.3,447.2
342,Navistar International,NAV,Industrials,,8570,30
343,Thrivent Financial for Lutherans,,Financial Services,,8527.9,558.4
344,DCP Midstream,DCP,Energy,,8462,229
345,Air Products & Chemicals,APD,Basic Materials,Specialty Chemicals,8442.4,3000.4
346,Veritiv,VRTV,Industrials,,8364.7,-13.3
347,AGCO,AGCO,Industrials,Farm & Heavy Construction Machinery,8306.5,186.4
348,Genworth Financial,GNW,Financial Services,Insurance - Life,8295,817
349,Univar,UNVR,Basic Materials,,8253.7,119.8
350,News Corp.,NWSA,Communication Services,Entertainment,8139,-738
351,SpartanNash,SPTN,Consumer Defensive,Food Distribution,8128.1,-52.8
352,Westlake Chemical,WLK,Basic Materials,Specialty Chemicals,8041,1304
353,Williams,WMB,Energy,Oil & Gas Midstream,8031,2174
354,Lam Research,LRCX,Technology,Semiconductor Equipment & Materials,8013.6,1697.8
355,Alaska Air Group,ALK,Industrials,Airlines,7933,1034
356,Jones Lang LaSalle,JLL,Real Estate,Real Estate Services,7932.4,254.2
357,Anixter International,AXE,Industrials,,7927.4,109
358,Campbell Soup,CPB,Consumer Defensive,Packaged Foods,7890,887
359,Interpublic Group,IPG,Communication Services,Advertising Agencies,7882.4,579
360,Dover,DOV,Industrials,Specialty Industrial Machinery,7830.4,811.7
361,Zimmer Biomet Holdings,ZBH,Healthcare,Medical Devices,7824.1,1813.8
362,Dean Foods,DFODQ,Consumer Defensive,,7795,61.6
363,Foot Locker,FL,Consumer Cyclical,Apparel Retail,7782,284
364,Eversource Energy,ES,Utilities,Utilities - Regulated Electric,7752,988
365,Alliance Data Systems,BFH,Financial Services,Credit Services,7719.4,788.7
366,Fifth Third Bancorp,FITB,Financial Services,Banks - Regional,7713,2194
367,Quest Diagnostics,DGX,Healthcare,Diagnostics & Research,7709,772
368,EMCOR Group,EME,Industrials,Engineering & Construction,7687.9,227.2
369,W.R. Berkley,WRB,Financial Services,Insurance - Property & Casualty,7684.8,549.1
370,WESCO International,WCC,Industrials,Industrial Distribution,7679,163.5
371,Coty,COTY,Consumer Defensive,Household & Personal Products,7650.3,-422.2
372,WEC Energy Group,WEC,Utilities,Utilities - Regulated Electric,7648.5,1203.7
373,Masco,MAS,Industrials,Building Products & Equipment,7644,533
374,DXC Technology,DXC,Technology,Information Technology Services,7607,-123
375,Auto-Owners Insurance,,Financial Services,,7603.7,645.7
376,Jones Financial (Edward Jones),,Financial Services,,7597,872
377,Liberty Media,LSXMA,Communication Services,Broadcasting,7594,1354
378,Erie Insurance Group,,Financial Services,,7535.1,857.5
379,Hershey,HSY,Consumer Defensive,Confectioners,7515.4,783
380,PPL,PPL,Utilities,Utilities - Regulated Electric,7447,1128
381,Huntington Ingalls Industries,HII,Industrials,Aerospace & Defense,7441,479
382,Mosaic,MOS,Basic Materials,Agricultural Inputs,7409.4,-107.2
383,J.M. Smucker,SJM,Consumer Defensive,Packaged Foods,7392.3,592.3
384,Delek US Holdings,DK,Energy,Oil & Gas Refining & Marketing,7349.5,288.8
385,Newmont Mining,NEM,Basic Materials,Gold,7348,-98
386,Constellation Brands,STZ,Consumer Defensive,Beverages - Wineries & Distilleries,7331.5,1535.1
387,Ryder System,R,Industrials,Rental & Leasing Services,7329.6,790.6
388,National Oilwell Varco,NOV,Energy,Oil & Gas Equipment & Services,7304,-237
389,Adobe Systems,ADBE,Technology,Software - Infrastructure,7301.5,1694
390,LifePoint Health,LPNT,Healthcare,,7263.1,102.4
391,Tractor Supply,TSCO,Consumer Cyclical,Specialty Retail,7256.4,422.6
392,Thor Industries,THO,Consumer Cyclical,Recreational Vehicles,7247,374.3
393,Dana,DAN,Consumer Cyclical,Auto Parts,7209,111
394,Weyerhaeuser,WY,Real Estate,REIT - Specialty,7196,582
395,J.B. Hunt Transport Services,JBHT,Industrials,Integrated Freight & Logistics,7189.6,686.3
