rank,company,revenue ($ millions),profit ($ millions),Sector
291,Genworth Financial,9614.0,560.0,Financial Services
292,Henry Schein,9561.0,432.0,Healthcare
293,Rock-Tenn,9545.0,727.0,Basic Materials
294,WellCare Health Plans,9528.0,175.0,Healthcare
295,W.W. Grainger,9438.0,797.0,Industrials
296,Discover Financial Services,9370.0,2470.0,Financial Services
297,Eastman Chemical,9350.0,1165.0,Basic Materials
298,Principal Financial,9290.0,913.0,Financial Services
299,Reliance Steel & Aluminum,9224.0,322.0,Basic Materials
300,AutoZone,9148.0,1017.0,Consumer Cyclical
301,Dover,9123.0,1003.0,Industrials
302,Micron Technology,9073.0,1190.0,Technology
303,Owens & Minor,9072.0,111.0,Healthcare
304,Assurant,9048.0,489.0,Financial Services
305,GameStop,9040.0,354.0,Consumer Cyclical
306,Stryker,9021.0,1006.0,Healthcare
307,Group 1 Automotive,8919.0,114.0,Consumer Cyclical
308,Cognizant Technology Solutions,8843.0,1229.0,Technology
309,Sonic Automotive,8843.0,82.0,Consumer Cyclical
310,Autoliv,8803.0,486.0,Consumer Cyclical
311,Hormel Foods,8752.0,526.0,Consumer Defensive
312,Motorola Solutions,8696.0,1099.0,Technology
313,Crown Holdings,8656.0,324.0,Consumer Cyclical
314,SunTrust Banks,8602.0,1344.0,Financial Services
315,Campbell Soup,8584.0,458.0,Consumer Defensive
316,Fidelity National Financial,8573.0,402.0,Financial Services
317,HD Supply Holdings,8569.0,-218.0,Industrials
318,Caesars Entertainment,8563.0,-2948.0,Consumer Cyclical
319,Darden Restaurants,8552.0,412.0,Consumer Cyclical
320,Weyerhaeuser,8529.0,563.0,Real Estate
321,Ball,8468.0,407.0,Basic Materials
322,Precision Castparts,8463.0,1427.0,Industrials
323,Masco,8438.0,272.0,Industrials
324,Universal Health Services,8419.0,511.0,Healthcare
325,Republic Services,8417.0,589.0,Industrials
326,MasterCard,8346.0,3116.0,Financial Services
327,Newmont Mining,8322.0,-2462.0,Basic Materials
328,Broadcom,8305.0,424.0,Technology
329,Reynolds American,8236.0,1718.0,Consumer Cyclical
330,PVH,8186.0,144.0,Consumer Cyclical
331,Charter Communications,8155.0,-169.0,Communication Services
332,AECOM Technology,8154.0,239.0,Industrials
333,CenterPoint Energy,8106.0,311.0,Utilities
333,Pacific Life,8106.0,720.0,Financial Services
335,Thrivent Financial for Lutherans,8101.0,414.0,Financial Services
336,Becton Dickinson,8074.0,1293.0,Healthcare
337,Franklin Resources,7985.0,2150.0,Financial Services
338,Tenneco,7964.0,183.0,Consumer Cyclical
339,TravelCenters of America,7963.0,17.0,Consumer Cyclical
340,Avis Budget Group,7937.0,16.0,Industrials
341,Facebook,7872.0,1500.0,Communication Services
